ID,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
169,Chevrolet,Pickup truck: Small,2.5,4,A6,X,12.7,9.8,11.4,267
170,Chevrolet,Pickup truck: Small,2.8,4,A6,D,12.2,8.4,10.5,283
171,Chevrolet,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.2,286
172,Chevrolet,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,326
173,Chevrolet,Pickup truck: Small,3.6,6,A8,X,15,13,14.1,331
174,Chevrolet,Two-seater,6.2,8,AS8,Z,15.6,9.2,12.7,299
175,Chevrolet,Two-seater,6.2,8,M7,Z,14.6,9.3,12.2,286
176,Chevrolet,Two-seater,6.2,8,AS8,Z,17.2,10.1,14,331
177,Chevrolet,Two-seater,6.2,8,M7,Z,15.9,10.6,13.5,318
178,Chevrolet,Two-seater,6.2,8,AS8,Z,19.5,12,16.1,381
179,Chevrolet,Two-seater,6.2,8,M7,Z,18.2,12.5,15.6,368
180,Chevrolet,Compact,1.4,4,AS6,X,8.3,6.2,7.3,172
181,Chevrolet,Compact,1.4,4,AS6,X,8.3,6.2,7.3,172
182,Chevrolet,Compact,1.6,4,A9,D,7.6,4.9,6.4,172
183,Chevrolet,Mid-size,1.4,4,AS6,X,8.3,6.2,7.3,172
184,Chevrolet,Mid-size,1.4,4,AS6,X,8.5,6.4,7.5,175
185,Chevrolet,Mid-size,1.6,4,A9,D,7.8,5.2,6.6,178
186,Chevrolet,SUV: Small,1.5,4,A6,X,9.2,7.3,8.3,196
187,Chevrolet,SUV: Small,1.6,4,A6,D,8.5,6,7.4,199
188,Chevrolet,SUV: Small,1.5,4,A6,X,9.3,7.8,8.6,207
189,Chevrolet,SUV: Small,1.6,4,A6,D,8.5,6.1,7.4,199
190,Chevrolet,SUV: Small,2,4,A9,Z,10.9,8.3,9.7,228
191,Chevrolet,Full-size,2.5,4,AS6,X,10.8,8,9.6,225
192,Chevrolet,Full-size,3.6,6,AS6,X,12.7,8.5,10.8,254
193,Chevrolet,Full-size,3.6,6,AS6,E,17.2,11.6,14.6,245
194,Chevrolet,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,174
195,Chevrolet,Mid-size,2,4,A9,Z,10.5,7.4,9.1,214
196,Chevrolet,Mid-size,1.8,4,AV,X,4.8,5.5,5.1,121
197,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.1,261
198,Chevrolet,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,316
199,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,15.9,11.4,13.9,326
200,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,15.7,11.9,14,329
201,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,21.1,15,18.4,306
202,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,14.1,10.2,12.4,290
203,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,275
204,Chevrolet,Pickup truck: Standard,4.3,6,A6,X,15.8,11.9,14,329
205,Chevrolet,Pickup truck: Standard,4.3,6,A6,X,16.3,12.9,14.8,347
206,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,15.9,11.7,14,329
207,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16.1,12.5,14.4,339
208,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,22,16.1,19.3,322
209,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16.5,13,14.9,350
210,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,14.9,10.8,13.1,306
211,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,15.3,11.8,13.7,320
212,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,15,12,13.7,321
213,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,15.6,10.9,13.5,317
214,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,15.8,11.4,13.8,325
215,Chevrolet,Subcompact,1.4,4,AV,X,7.9,6.2,7.1,167
216,Chevrolet,Subcompact,1.4,4,M5,X,8,6.2,7.2,170
217,Chevrolet,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
218,Chevrolet,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
219,Chevrolet,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,298
220,Chevrolet,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.3,336
221,Chevrolet,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.3,336
222,Chevrolet,SUV: Standard,5.3,8,A6,E,22.2,15.2,19,317
223,Chevrolet,SUV: Standard,6.2,8,A10,Z,17.1,11.3,14.5,340
224,Chevrolet,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
225,Chevrolet,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
226,Chevrolet,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,298
227,Chevrolet,SUV: Standard,5.3,8,A6,X,15.8,11.1,13.7,321
228,Chevrolet,SUV: Standard,5.3,8,A6,X,15.8,11.1,13.7,321
229,Chevrolet,SUV: Standard,5.3,8,A6,E,21.7,14.3,18.4,305
230,Chevrolet,SUV: Standard,6.2,8,A10,Z,16.4,10.7,13.8,325
231,Chevrolet,SUV: Standard,3.6,6,A9,X,13,8.8,11.1,261
232,Chevrolet,SUV: Standard,3.6,6,A9,X,13.7,9.5,11.8,277
233,Chevrolet,SUV: Small,1.4,4,AS6,X,9.1,7.6,8.4,196
234,Chevrolet,SUV: Small,1.4,4,M6,X,9.4,6.9,8.3,194
235,Chevrolet,SUV: Small,1.4,4,AS6,X,9.9,8.1,9.1,214
236,Chrysler,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
237,Chrysler,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
238,Chrysler,Full-size,3.6,6,A8,E,17.1,10.6,14.2,234
239,Chrysler,Full-size,5.7,8,A8,X,14.7,9.4,12.3,289
240,Chrysler,Full-size,3.6,6,A8,X,12.8,8.7,11,258
241,Chrysler,Full-size,3.6,6,A8,X,12.8,8.7,11,258
242,Chrysler,Full-size,3.6,6,A8,E,17.6,12,15,248
243,Chrysler,Minivan,3.6,6,A9,X,12.9,8.4,10.9,259
244,Chrysler,Minivan,3.6,6,A9,X,12.4,8.4,10.6,249
245,Dodge,Mid-size,3.6,6,A8,X,12.4,7.8,10.3,242
246,Dodge,Mid-size,5.7,8,M6,Z,15.6,10.1,13.1,307
247,Dodge,Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,325
248,Dodge,Mid-size,5.7,8,A8,X,14.7,9.4,12.3,289
249,Dodge,Mid-size,6.4,8,A8,Z,15.8,9.6,13,304
250,Dodge,Mid-size,3.6,6,A8,X,12.8,8.7,11,258
251,Dodge,Mid-size,6.2,8,A8,Z,17.6,10.7,14.5,339
252,Dodge,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,352
253,Dodge,Mid-size,6.2,8,A8,Z,17.6,10.7,14.5,339
254,Dodge,Full-size,3.6,6,A5,X,13.7,9,11.6,271
255,Dodge,Full-size,3.6,6,A5,X,13.7,9,11.6,271
256,Dodge,Full-size,3.6,6,A5,E,18.9,12.7,16.1,268
257,Dodge,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
258,Dodge,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
259,Dodge,Full-size,3.6,6,A8,E,17.1,10.6,14.2,234
260,Dodge,Full-size,5.7,8,A5,X,15.6,9.7,12.9,302
261,Dodge,Full-size,5.7,8,A8,X,14.7,9.4,12.3,289
262,Dodge,Full-size,6.4,8,A8,Z,15.8,9.6,13,304
263,Dodge,Full-size,3.6,6,A8,X,12.8,8.7,11,258
264,Dodge,Full-size,3.6,6,A8,X,12.8,8.7,11,258
265,Dodge,Full-size,3.6,6,A8,E,17.6,12,15,248
266,Dodge,Full-size,5.7,8,A5,X,16,10.1,13.3,312
267,Dodge,Full-size,6.2,8,A8,Z,17.6,10.7,14.5,339
268,Dodge,SUV: Standard,3.6,6,A8,X,12.7,9.6,11.3,265
269,Dodge,SUV: Standard,5.7,8,A8,X,16.7,10.9,14.1,331
270,Dodge,SUV: Standard,6.4,8,A8,Z,18.3,12.2,15.6,363
271,Dodge,Minivan,3.6,6,A6,X,13.7,9.4,11.8,276
272,Dodge,Minivan,3.6,6,A6,E,19.4,13.3,16.7,274
